angDist,_RAJ2000,_DEJ2000,recno,ID,RA2000,DE2000,Vmag,e_Vmag,o_Vmag,B-V,e_B-V,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.342409,28.3294167,37.9848333,1,15,01 53 19.06,+37 59 05.4,,,,,,28.3293303920758,37.9848997764292,0.001,0.001,90,342755402587781888,28.32938538812,0.0487,37.98484867049,0.0348,2.2380,0.0472,10.068,0.092,-11.870,0.079,0,1.45694e+05,5.06732e+01,12.779762,7.94369e+04,1.14298e+02,13.101333,9.63293e+04,1.06913e+02,12.302525,0.798808,10.66,3.91,3,5848.67,0.0657,0.0405,1.04,1.144
0.146328,28.4053333,37.4048056,2,37,01 53 37.28,+37 24 17.3,,,,,,28.4053286228044,37.4048460764602,0.001,0.001,0,342517319664145536,28.40538345804,0.0342,37.40479872172,0.0313,2.2388,0.0386,10.117,0.066,-10.999,0.070,0,2.02119e+05,3.90964e+01,12.424346,1.12374e+05,1.29039e+02,12.724720,1.30640e+05,1.68526e+02,11.971732,0.752988,22.40,9.25,7,5983.00,0.0540,0.0255,1.17,1.576
0.182306,28.60725,38.0091389,3,134,01 54 25.74,+38 00 32.9,12.084,0.012,3,0.506,0.01,28.6073002252504,38.0091704980737,0.001,0.001,90,342747564272197632,28.60734664274,0.0426,38.00912165327,0.0333,2.4562,0.0475,8.494,0.081,-11.345,0.075,0,3.09635e+05,1.06684e+02,11.961241,1.77509e+05,3.33039e+02,12.228339,1.93511e+05,2.97313e+02,11.545157,0.683182,6.46,3.15,5,6504.00,0.1580,0.0885,1.11,1.985
0.294394,28.6293333,37.4921111,4,143,01 54 31.04,+37 29 31.6,11.14,,,0.47,,28.6294190806742,37.4921564318438,0.001,0.001,0,342539382912584832,28.62947291469,0.0372,37.49210664172,0.0356,2.2310,0.0413,9.921,0.072,-11.564,0.083,0,7.00162e+05,4.12572e+02,11.075370,4.16087e+05,5.24646e+02,11.303428,4.12577e+05,4.61015e+02,10.723158,0.580270,6.78,2.51,5,6758.57,1.1662,0.5750,1.70,5.444
0.179555,28.6525833,37.4405833,5,155,01 54 36.62,+37 26 26.1,,,,,,28.6525245243949,37.4406009030721,0.001,0.001,0,342537974163319040,28.65257864381,0.0326,37.44055010809,0.0301,2.2007,0.0364,9.980,0.066,-11.798,0.075,0,1.38544e+05,4.04885e+01,12.834393,7.48465e+04,1.27697e+02,13.165959,9.21624e+04,1.09751e+02,12.350535,0.815424,,,0,5831.00,0.1287,0.0680,1.04,1.126
0.441578,28.6650833,38.1960278,6,172,01 54 39.62,+38 11 45.7,8.892,0.014,5,1.018,0.003,28.6652220043406,38.1959715599133,0.002,0.001,0,343136417726531968,28.66527633769,0.0462,38.19592022715,0.0427,2.2169,0.0555,9.918,0.082,-11.922,0.105,0,6.74206e+06,4.16254e+03,8.616385,3.02117e+06,3.84491e+03,9.150949,5.18002e+06,1.09567e+04,7.976092,1.174856,5.96,0.27,5,4883.34,0.0650,0.0523,10.95,61.472
0.310286,28.6729583,38.1917222,7,176,01 54 41.51,+38 11 30.2,10.452,0.004,2,0.375,0.003,28.6730606153151,38.1916911781102,0.001,0.001,0,343136417726532736,28.67311584868,0.0443,38.19163922416,0.0376,2.3421,0.0551,10.082,0.078,-12.067,0.088,0,1.37168e+06,7.62548e+02,10.345235,8.24150e+05,1.46355e+03,10.561373,7.89085e+05,1.37839e+03,10.019110,0.542263,9.34,1.53,4,6659.47,,,2.34,9.673
0.187418,28.7090417,37.9369444,8,197,01 54 50.17,+37 56 13.0,13.26,,,0.75,,28.7091058167168,37.9369567760040,0.001,0.001,90,342743514118407552,28.70910514824,0.0440,37.93688393492,0.0344,1.2020,0.0464,-0.122,0.090,-16.918,0.085,0,1.79221e+05,4.87949e+01,12.554896,9.47573e+04,1.26604e+02,12.909857,1.22008e+05,9.70501e+01,12.045949,0.863908,-61.23,4.93,4,5746.25,1.0120,0.5050,2.24,4.908
0.124697,28.7105833,38.2160556,9,201,01 54 50.54,+38 12 57.8,11.723,0.014,2,0.447,0.009,28.7106250923475,38.2160445715023,0.001,0.001,0,343136383366788864,28.71067865039,0.0398,38.21599350909,0.0332,2.1334,0.0471,9.773,0.067,-11.860,0.074,0,4.27791e+05,1.49610e+02,11.610287,2.52904e+05,3.72329e+02,11.843997,2.57587e+05,4.12462e+02,11.234609,0.609388,3.61,3.69,6,6777.50,0.3853,0.1900,1.38,3.638
0.420887,28.7209167,38.2855,10,206,01 54 53.02,+38 17 07.8,8.518,0.0,1,0.984,0.0,28.7210033946125,38.2854049319934,0.003,0.002,0,343139029066632704,28.72105480406,0.0769,38.28542371639,0.0756,2.8364,0.0900,9.372,0.158,4.363,0.184,0,9.44728e+06,3.81976e+03,8.250098,4.25233e+06,5.49491e+03,8.779820,7.25794e+06,1.33844e+04,7.609887,1.169934,63.07,2.10,7,4868.33,0.0485,0.0300,10.22,52.824
0.318686,28.7349583,37.4433056,11,212,01 54 56.39,+37 26 35.9,9.18,0.0,1,1.08,0.0,28.7350381321955,37.4433673984750,0.003,0.002,0,342526429291225600,28.73518957593,0.0387,37.44336370242,0.0496,3.8305,0.0573,27.927,0.100,-0.858,0.170,0,5.14116e+06,2.09601e+03,8.910714,2.25175e+06,4.85009e+03,9.470088,4.01241e+06,1.27574e+04,8.253407,1.216682,-2.58,0.17,6,4804.75,,,5.78,16.032
0.818632,28.74,37.1281944,12,213,01 54 57.60,+37 07 41.5,6.26,0.0,1,1.17,0.0,28.7402549470668,37.1282963448761,0.001,0.001,90,342496089642302336,28.74045776224,0.0407,37.12822836895,0.0344,5.4677,0.0464,37.557,0.084,-15.788,0.080,0,7.95338e+07,7.40965e+04,5.936986,3.29861e+07,1.05606e+05,6.555560,6.34596e+07,1.97817e+05,5.255677,1.299882,-0.03,0.17,9,4655.00,0.1610,0.0765,17.36,127.426
0.144967,28.7362917,37.9746944,13,215,01 54 56.71,+37 58 28.9,11.4,,,0.43,,28.7363390779247,37.9747094582676,0.001,0.001,90,342744029514480512,28.73639343613,0.0556,37.97465899357,0.0391,2.2149,0.0604,9.952,0.096,-11.721,0.092,0,5.45830e+05,2.69146e+02,11.345722,3.25755e+05,8.81778e+02,11.569162,3.23243e+05,4.02653e+02,10.988097,0.581065,5.54,1.80,2,6590.94,0.6500,0.3380,1.59,4.303
0.254394,28.7405,38.1837222,14,219,01 54 57.72,+38 11 01.4,10.992,0.005,2,0.369,0.006,28.7405857850752,38.1837010636365,0.001,0.001,0,343124559320926976,28.74064188936,0.0403,38.18365044970,0.0348,2.1142,0.0477,10.243,0.072,-11.755,0.081,0,8.16955e+05,4.17546e+02,10.907869,4.98249e+05,9.64956e+02,11.107773,4.66007e+05,3.16954e+02,10.590939,0.516834,8.57,1.47,5,6913.25,,,1.86,7.085
0.134716,28.7485417,37.4832778,15,222,01 54 59.65,+37 28 59.8,11.651,0.009,2,0.489,0.007,28.7485566655137,37.4833132866916,0.001,0.001,0,342539756573295616,28.74860359580,0.0348,37.48326418510,0.0323,2.2555,0.0389,8.649,0.069,-11.404,0.074,0,4.74583e+05,2.00627e+02,11.497585,2.67911e+05,3.75767e+02,11.781413,2.99123e+05,2.74208e+02,11.072296,0.709117,3.41,1.73,6,6139.80,0.8653,0.3755,1.68,3.628
0.282986,28.761875,38.27725,16,237,01 55 02.85,+38 16 38.1,12.418,0.0,1,0.519,0.0,28.7618262987164,38.2773186835205,0.001,0.001,0,343138234496793600,28.76187894022,0.0357,38.27726828379,0.0324,2.2471,0.0389,9.598,0.067,-11.706,0.072,0,2.32800e+05,4.69090e+01,12.270909,1.31321e+05,2.33295e+02,12.555553,1.47319e+05,1.41012e+02,11.841270,0.714284,4.99,1.56,6,6249.33,0.2010,0.0867,1.14,1.788
0.271621,28.7797083,37.5435833,17,245,01 55 07.13,+37 32 36.9,14.19,,,0.66,,28.7796356771053,37.5436320549869,0.001,0.001,0,342540516783942016,28.77968634823,0.0236,37.54357841739,0.0293,1.5350,0.0314,9.331,0.057,-12.458,0.077,0,4.77483e+04,1.57578e+01,13.990972,2.44507e+04,4.21308e+01,14.380660,3.34703e+04,5.33119e+01,13.450272,0.930388,,,0,5487.50,0.1750,0.0740,1.00,0.819
0.036566,28.7975417,37.9978889,18,255,01 55 11.41,+37 59 52.4,12.493,0.01,2,0.562,0.0,28.7975463389187,37.9978983766689,0.001,0.001,90,343119134778149120,28.79759850840,0.0505,37.99784780856,0.0331,2.2983,0.0520,9.548,0.081,-11.745,0.076,0,2.09524e+05,6.35023e+01,12.385282,1.17277e+05,1.96007e+02,12.678352,1.33564e+05,1.13973e+02,11.947697,0.730656,6.99,3.53,5,6145.97,0.0735,0.0260,1.10,1.542
0.163619,28.8025833,37.8373333,19,259,01 55 12.62,+37 50 14.4,9.496,0.013,7,0.954,0.006,28.8026021951020,37.8373762300899,0.001,0.001,0,342554191959774720,28.80265551345,0.0435,37.83732455161,0.0367,2.0815,0.0493,9.780,0.082,-12.003,0.090,0,3.81928e+06,1.48651e+03,9.233413,1.75401e+06,2.94155e+03,9.741306,2.88749e+06,4.85058e+03,8.610619,1.130688,5.29,0.35,2,4928.88,,,8.57,39.066
0.107681,28.8137083,37.842,20,264,01 55 15.29,+37 50 31.2,9.569,0.005,4,0.996,0.003,28.8137212394705,37.8420281117651,0.001,0.001,0,342554187663431424,28.81377396028,0.0407,37.84197721544,0.0352,2.1011,0.0474,9.670,0.078,-11.821,0.082,0,3.66545e+06,1.54875e+03,9.278048,1.65188e+06,4.14674e+03,9.806444,2.80347e+06,4.25152e+03,8.642678,1.163766,5.38,0.20,2,4953.00,,,8.21,36.588
0.152897,28.84225,37.5938333,21,288,01 55 22.14,+37 35 37.8,14.07,,,0.66,,28.8421965829460,37.5938297814543,0.001,0.001,90,342546461018669696,28.84227265261,0.0239,37.59379542550,0.0200,0.9364,0.0244,13.999,0.050,-7.979,0.048,0,5.24036e+04,1.97989e+01,13.889962,2.73711e+04,2.74921e+01,14.258156,3.60325e+04,3.74040e+01,13.370183,0.887973,,,0,5589.05,,,1.65,2.393
0.265401,28.8537917,37.9175278,22,296,01 55 24.91,+37 55 03.1,,,,,,28.8537283129038,37.9175819703745,0.001,0.001,90,342930259296346752,28.85378126862,0.0446,37.91753189709,0.0297,2.2405,0.0462,9.703,0.075,-11.630,0.063,0,3.14187e+04,2.29603e+01,14.445396,1.41749e+04,4.20483e+01,14.972587,2.45973e+04,7.33453e+01,13.784703,1.187883,,,0,5030.91,0.0110,0.0160,0.69,0.271
0.282772,28.861625,37.4218889,23,299,01 55 26.79,+37 25 18.8,14.85,,,0.1,,28.8615437182257,37.4218441484475,0.001,0.001,0,342527082126256512,28.86156960341,0.0283,37.42185056948,0.0389,0.6882,0.0372,4.775,0.067,1.491,0.094,0,3.01191e+04,1.07796e+01,14.491262,1.74193e+04,3.83840e+01,14.748809,1.88646e+04,2.25684e+01,14.072803,0.676006,,,0,6400.82,0.0323,0.0175,1.28,2.462
