angDist,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.736780,51.898273,24.52866,51.898273,24.52866,51.8984099071588,24.5284970971480,0.001,0.000,90,69006006890677376,51.89840990716,0.8031,24.52849709715,0.4950,,,,,,,1,1.17239e+05,3.25331e+02,13.015683,3.73768e+04,1.93479e+02,13.919883,1.25552e+05,2.91888e+02,12.014859,1.905024,10.06,10.15,7,3968.50,,,,
0.093242,51.925262,23.803688,51.925262,23.803688,51.9252744609433,23.8036645949742,0.001,0.001,90,68711956249760768,51.92529426814,0.0398,23.80351150796,0.0255,5.0963,0.0445,4.209,0.093,-35.556,0.061,0,1.68232e+06,5.05085e+02,10.123595,8.85058e+05,9.49033e+02,10.483959,1.13293e+06,1.24666e+03,9.626410,0.857550,5.04,1.08,4,5676.00,1.0020,0.4823,1.66,2.576
0.029673,51.976067,24.936478,51.976067,24.936478,51.9760577636877,24.9364756879408,0.003,0.002,90,69122520763444352,51.97616651581,0.0754,24.93627999854,0.0480,7.6790,0.0818,22.904,0.169,-45.450,0.110,0,8.88337e+03,6.53475e+00,15.816921,1.54246e+03,8.40286e+00,17.380850,1.16468e+04,1.53107e+01,14.596408,2.784442,,,0,3586.94,0.5227,0.3103,,
0.145453,52.00648,23.078499,52.00648,23.078499,52.0065172997210,23.0784758684156,0.003,0.002,90,61917043110119552,52.00661290923,0.1091,23.07828908923,0.0697,7.0751,0.1140,20.429,0.207,-43.381,0.149,0,4.34315e+03,4.96275e+00,16.593853,6.50309e+02,9.55048e+00,18.318588,5.92524e+03,1.35968e+01,15.330154,2.988434,,,0,3598.83,0.7780,0.4530,,
0.116844,52.168613,25.607782,52.168613,25.607782,52.1686445671707,25.6077986491412,0.001,0.001,90,69221506874062720,52.16876264948,0.0434,25.60767431432,0.0268,6.3279,0.0429,24.732,0.095,-28.878,0.064,0,4.70749e+05,3.50039e+02,11.506393,2.27616e+05,3.83310e+02,11.958384,3.44024e+05,4.71272e+02,10.920448,1.037935,4.73,0.38,6,5295.39,0.1197,0.0623,0.83,0.487
0.069703,52.20025,25.575842,52.20025,25.575842,52.2002650009274,25.5758545200369,0.008,0.006,90,69218418793157632,52.20035692470,0.2628,25.57566957737,0.1644,6.7950,0.2682,19.258,0.535,-42.954,0.357,0,6.43204e+03,1.24645e+01,16.167494,9.77094e+02,1.17605e+01,17.876547,8.88646e+03,2.87420e+01,14.890098,2.986449,,,0,4409.88,,,,
0.070908,52.203186,26.49935,52.203186,26.49935,52.2031912002838,26.4993687406867,0.001,0.001,90,117709729140216320,52.20328599894,0.0331,26.49919666662,0.0236,6.4965,0.0361,19.705,0.067,-39.966,0.054,0,3.62305e+05,2.17310e+02,11.790681,1.71150e+05,3.07170e+02,12.267944,2.72450e+05,3.37807e+02,11.173702,1.094242,3.75,1.56,7,5038.00,0.0160,0.0080,0.80,0.371
0.145088,52.355843,25.652304,52.355843,25.652304,52.3558396319355,25.6522634818469,0.001,0.001,90,69595035885590144,52.35598730002,0.0459,25.65214895029,0.0288,7.3119,0.0526,30.917,0.086,-26.601,0.063,0,3.52219e+06,1.24780e+03,9.321333,2.01491e+06,2.84984e+03,9.590750,2.14729e+06,2.22751e+03,8.932196,0.658554,,,0,6291.75,0.1810,0.1010,1.34,2.554
0.097372,52.409874,24.510546,52.409874,24.510546,52.4098723154440,24.5105187243763,0.001,0.001,90,68897842434107392,52.40997252626,0.0385,24.51033966182,0.0254,6.8363,0.0420,21.177,0.082,-41.589,0.060,0,3.22243e+05,9.88803e+02,11.917906,1.44738e+05,1.58261e+03,12.449934,2.53113e+05,2.14539e+03,11.253635,1.196299,-0.10,10.38,5,4925.64,0.2470,0.1210,0.76,0.306
0.115527,52.494766,23.371859,52.494766,23.371859,52.4947670678658,23.3718265151099,0.003,0.002,90,67920926352940032,52.49486598005,0.0812,23.37163658083,0.0525,7.0732,0.0863,21.088,0.211,-44.114,0.134,0,9.32417e+03,1.66718e+01,15.764339,1.49764e+03,1.89652e+01,17.412870,1.26202e+04,4.13774e+01,14.509254,2.903616,,,0,4120.11,,,,
